chromosome,read interval,reads,length of read,result,status
chr1,"(9293155, 9293171)",1,16,['MinDist5:63975'],['F5']
chr1,"(9295788, 9295802)",2,14,['MinDist5:61344'],['F5']
chr1,"(9297889, 9297902)",1,13,['MinDist5:59244'],['F5']
chr1,"(9298509, 9298529)",1,20,['MinDist5:58617'],['F5']
chr1,"(9299063, 9299076)",1,13,['MinDist5:58070'],['F5']
chr1,"(9301150, 9301163)",1,13,['MinDist5:55983'],['F5']
chr1,"(9303290, 9303303)",1,13,['MinDist5:53843'],['F5']
chr1,"(9304090, 9304102)",1,12,['MinDist5:53044'],['F5']
chr1,"(9306035, 9306045)",1,10,['MinDist5:51101'],['F5']
chr1,"(9306474, 9306493)",1,19,['MinDist5:50653'],['F5']
chr1,"(9323603, 9323615)",1,12,['MinDist5:33531'],['F5']
chr1,"(9325075, 9325087)",1,12,['MinDist5:32059'],['F5']
chr1,"(9327443, 9327457)",2,14,['MinDist5:29689'],['F5']
chr1,"(9327463, 9327476)",2,13,['MinDist5:29670'],['F5']
chr1,"(9328519, 9328534)",1,15,['MinDist5:28612'],['F5']
chr1,"(9329783, 9329804)",1,21,['MinDist5:27342'],['F5']
chr1,"(9329887, 9329898)",1,11,['MinDist5:27248'],['F5']
chr1,"(9330068, 9330095)",1,27,['MinDist5:27051'],['F5']
chr1,"(9330156, 9330167)",2,11,['MinDist5:26979'],['F5']
chr1,"(9331084, 9331095)",2,11,['MinDist5:26051'],['F5']
chr1,"(9331605, 9331617)",2,12,['MinDist5:25529'],['F5']
chr1,"(9332609, 9332622)",1,13,['MinDist5:24524'],['F5']
chr1,"(9333630, 9333650)",1,20,['MinDist5:23496'],['F5']
chr1,"(9335203, 9335216)",1,13,['MinDist5:21930'],['F5']
chr1,"(9335641, 9335652)",1,11,['MinDist5:21494'],['F5']
chr1,"(9337019, 9337030)",1,11,['MinDist5:20116'],['F5']
chr1,"(9337608, 9337620)",2,12,['MinDist5:19526'],['F5']
chr1,"(9343510, 9343536)",1,26,['MinDist5:13610'],['F5']
chr1,"(9345148, 9345160)",1,12,['MinDist5:11986'],['F5']
chr1,"(9346196, 9346216)",1,20,['MinDist5:10930'],['F5']
chr1,"(9347793, 9347805)",1,12,['MinDist5:9341'],['F5']
chr1,"(9348497, 9348507)",1,10,['MinDist5:8639'],['F5']
chr1,"(9349140, 9349154)",2,14,['MinDist5:7992'],['F5']
chr1,"(9350548, 9350576)",1,28,['MinDist5:6570'],['F5']
chr1,"(9350636, 9350652)",1,16,['MinDist5:6494'],['F5']
chr1,"(9351528, 9351541)",1,13,['MinDist5:5605'],['F5']
chr1,"(9351734, 9351748)",1,14,['MinDist5:5398'],['F5']
chr1,"(9351856, 9351867)",1,11,['MinDist5:5279'],['F5']
chr1,"(9352035, 9352045)",1,10,['MinDist5:5101'],['F5']
chr1,"(9352117, 9352130)",1,13,['MinDist5:5016'],['F5']
chr1,"(9353390, 9353400)",1,10,['MinDist5:3746'],['F5']
chr1,"(9356083, 9356099)",1,16,['MinDist5:1047'],['F5']
chr1,"(9360678, 9360692)",1,14,['MinDist3:273'],['3T']
chr1,"(9361330, 9361341)",1,11,['MinDist3:925'],['F3']
chr1,"(9362611, 9362625)",1,14,['MinDist3:2206'],['F3']
chr1,"(9363443, 9363455)",1,12,['MinDist3:3038'],['F3']
chr1,"(9364533, 9364546)",1,13,['MinDist3:4128'],['F3']
chr1,"(9366813, 9366827)",1,14,['MinDist3:6408'],['F3']
chr1,"(9368118, 9368131)",1,13,['MinDist3:7713'],['F3']
chr1,"(9370962, 9370972)",1,10,['MinDist3:10557'],['F3']
chr1,"(9371249, 9371261)",1,12,['MinDist3:10844'],['F3']
chr1,"(9371756, 9371769)",1,13,['MinDist3:11351'],['F3']
chr1,"(9371772, 9371785)",1,13,['MinDist3:11367'],['F3']
chr1,"(9374058, 9374070)",1,12,['MinDist3:13653'],['F3']
chr1,"(9375715, 9375727)",1,12,['MinDist3:15310'],['F3']
chr1,"(9375746, 9375759)",1,13,['MinDist3:15341'],['F3']
chr1,"(9376215, 9376228)",1,13,['MinDist3:15810'],['F3']
chr1,"(9376723, 9376735)",1,12,['MinDist3:16318'],['F3']
chr1,"(9378040, 9378051)",1,11,['MinDist3:17635'],['F3']
chr1,"(9379879, 9379897)",1,18,['MinDist3:19474'],['F3']
chr1,"(9380569, 9380583)",2,14,['MinDist3:20164'],['F3']
chr1,"(9384833, 9384844)",1,11,['MinDist3:24428'],['F3']
chr1,"(9390574, 9390589)",1,15,['MinDist3:30169'],['F3']
chr1,"(9393976, 9393995)",1,19,['MinDist3:33571'],['F3']
chr1,"(9393978, 9393995)",1,17,['MinDist3:33573'],['F3']
chr1,"(9393981, 9393995)",3,14,['MinDist3:33576'],['F3']
chr1,"(9394173, 9394185)",1,12,['MinDist3:33768'],['F3']
chr1,"(9404649, 9404664)",1,15,['MinDist3:44244'],['F3']
chr1,"(9406424, 9406435)",1,11,['MinDist3:46019'],['F3']
chr1,"(9409243, 9409256)",1,13,['MinDist3:48838'],['F3']
chr1,"(9409363, 9409387)",1,24,['MinDist3:48958'],['F3']
chr1,"(9410107, 9410118)",1,11,['MinDist3:49702'],['F3']
chr1,"(9410369, 9410385)",1,16,['MinDist3:49964'],['F3']
chr1,"(9411582, 9411593)",1,11,['MinDist3:51177'],['F3']
chr1,"(9417682, 9417693)",1,11,['MinDist3:57277'],['F3']
chr1,"(9419913, 9419927)",1,14,['MinDist3:59508'],['F3']
chr1,"(9422344, 9422362)",1,18,['MinDist3:61939'],['F3']
chr1,"(9422397, 9422409)",2,12,['MinDist3:61992'],['F3']
chr1,"(9423469, 9423480)",1,11,['MinDist3:63064'],['F3']
chr1,"(9426243, 9426258)",1,15,['MinDist3:65838'],['F3']
chr1,"(9427834, 9427848)",1,14,['MinDist3:67429'],['F3']
chr1,"(9431251, 9431278)",1,27,['MinDist3:70846'],['F3']
chr1,"(9432006, 9432018)",2,12,['MinDist3:71601'],['F3']
chr1,"(9434162, 9434173)",1,11,['MinDist3:73757'],['F3']
chr1,"(9442036, 9442049)",1,13,['MinDist5:78754'],['F5']
chr1,"(9444598, 9444610)",1,12,['MinDist5:76193'],['F5']
chr1,"(9446178, 9446192)",1,14,['MinDist5:74611'],['F5']
chr1,"(9447093, 9447110)",2,17,['MinDist5:73693'],['F5']
chr1,"(9447096, 9447110)",1,14,['MinDist5:73693'],['F5']
chr1,"(9447575, 9447586)",1,11,['MinDist5:73217'],['F5']
chr1,"(9448715, 9448729)",1,14,['MinDist5:72074'],['F5']
chr1,"(9461778, 9461791)",1,13,['MinDist5:59012'],['F5']
chr1,"(9461860, 9461871)",1,11,['MinDist5:58932'],['F5']
chr1,"(9467401, 9467412)",1,11,['MinDist5:53391'],['F5']
chr1,"(9467507, 9467517)",1,10,['MinDist5:53286'],['F5']
chr1,"(9468498, 9468509)",1,11,['MinDist5:52294'],['F5']
chr1,"(9472576, 9472586)",1,10,['MinDist5:48217'],['F5']
chr1,"(9476955, 9476967)",1,12,['MinDist5:43836'],['F5']
chr1,"(9490599, 9490615)",1,16,['MinDist5:30188'],['F5']
chr1,"(9496862, 9496872)",1,10,['MinDist5:23931'],['F5']
chr1,"(9502446, 9502456)",1,10,['MinDist5:18347'],['F5']
chr1,"(9507165, 9507178)",2,13,['MinDist5:13625'],['F5']
chr1,"(9507283, 9507294)",2,11,['MinDist5:13509'],['F5']
chr1,"(9516499, 9516516)",2,17,['MinDist5:4287'],['F5']
chr1,"(9521825, 9521840)",1,15,['Gm7512-201'],['A']
chr1,"(9526111, 9526123)",1,12,['MinDist5:2771'],['F5']
chr1,"(9527456, 9527470)",1,14,['MinDist5:1424'],['F5']
