chromosome,read interval,reads,length of read,result,status
chr1,"(6319904, 6319915)",1,11,"[['Rb1cc1-201', 15, 16.0]]",['A']
chr1,"(6319911, 6319939)",1,28,"[['Rb1cc1-201', 15, 16.0]]",['A']
chr1,"(6320131, 6320159)",1,28,"[['Rb1cc1-201', 15, 16.0]]",['A']
chr1,"(6320655, 6320668)",1,13,"[['Rb1cc1-201', 15, 16.0]]",['U']
chr1,"(6321233, 6321245)",1,12,"[['Rb1cc1-201', 15, 16.0]]",['U']
chr1,"(6321544, 6321556)",1,12,"[['Rb1cc1-201', 15, 16.0]]",['U']
chr1,"(6322137, 6322164)",2,27,"[['Rb1cc1-201', 15, 16.0]]",['U']
chr1,"(6322193, 6322207)",1,14,"[['Rb1cc1-201', 15, 16.0]]",['U']
chr1,"(6324455, 6324468)",1,13,"[['Rb1cc1-201', 15, 16.0]]",['U']
chr1,"(6325465, 6325480)",1,15,"[['Rb1cc1-201', 15, 16.0]]",['U']
chr1,"(6327582, 6327596)",1,14,"[['Rb1cc1-201', 15, 16.0]]",['U']
chr1,"(6327640, 6327653)",1,13,"[['Rb1cc1-201', 15, 16.0]]",['U']
chr1,"(6327690, 6327706)",1,16,"[['Rb1cc1-201', 15, 16.0]]",['U']
chr1,"(6327820, 6327842)",1,22,"[['Rb1cc1-201', 15, 16.0]]",['U']
chr1,"(6327971, 6327985)",4,14,"[['Rb1cc1-201', 15, 16.0]]",['U']
chr1,"(6327971, 6327992)",1,21,"[['Rb1cc1-201', 15, 16.0]]",['U']
chr1,"(6328044, 6328055)",1,11,"[['Rb1cc1-201', 15, 16.0]]",['U']
chr1,"(6329294, 6329319)",2,25,"[['Rb1cc1-201', 15, 16.0]]",['U']
chr1,"(6330339, 6330366)",1,27,"[['Rb1cc1-201', 15, 16.0]]",['U']
chr1,"(6330546, 6330574)",1,28,"[['Rb1cc1-201', 15, 16.0]]",['U']
chr1,"(6330975, 6330988)",1,13,"[['Rb1cc1-201', 15, 16.0]]",['U']
chr1,"(6331427, 6331440)",1,13,"[['Rb1cc1-201', 16, 17.0]]",['U']
chr1,"(6331582, 6331610)",1,28,"[['Rb1cc1-201', 16, 17.0]]",['U']
chr1,"(6332492, 6332506)",1,14,"[['Rb1cc1-201', 16, 17.0]]",['U']
chr1,"(6333378, 6333387)",2,9,"[['Rb1cc1-201', 18, 19.0]]",['A']
chr1,"(6333797, 6333818)",1,21,"[['Rb1cc1-201', 18, 19.0]]",['U']
chr1,"(6334474, 6334490)",1,16,"[['Rb1cc1-201', 18, 19.0]]",['U']
chr1,"(6335515, 6335526)",1,11,"[['Rb1cc1-201', 19, 20.0]]",['U']
chr1,"(6335709, 6335725)",1,16,"[['Rb1cc1-201', 19, 20.0]]",['U']
chr1,"(6336361, 6336389)",1,28,"[['Rb1cc1-201', 20, 21.0]]",['U']
chr1,"(6336478, 6336496)",1,18,"[['Rb1cc1-201', 20, 21.0]]",['U']
chr1,"(6337492, 6337516)",1,24,"[['Rb1cc1-201', 20, 21.0]]",['U']
chr1,"(6337566, 6337577)",1,11,"[['Rb1cc1-201', 20, 21.0]]",['U']
chr1,"(6338976, 6338987)",1,11,"[['Rb1cc1-201', 21, 22.0]]",['U']
chr1,"(6339236, 6339264)",1,28,"[['Rb1cc1-201', 21, 22.0]]",['U']
chr1,"(6339790, 6339818)",3,28,"[['Rb1cc1-201', 21, 22.0]]",['U']
chr1,"(6340171, 6340199)",1,28,"[['Rb1cc1-201', 21, 22.0]]",['U']
chr1,"(6341233, 6341250)",1,17,"[['Rb1cc1-201', 22, 23.0]]",['U']
chr1,"(6342191, 6342206)",1,15,"[['Rb1cc1-201', 22, 23.0]]",['U']
chr1,"(6344659, 6344671)",1,12,['MinDist5:84770'],['F5']
chr1,"(6344825, 6344835)",1,10,['MinDist5:84606'],['F5']
chr1,"(6344882, 6344894)",2,12,['MinDist5:84547'],['F5']
chr1,"(6345161, 6345189)",2,28,['MinDist5:84252'],['F5']
chr1,"(6346368, 6346382)",1,14,['MinDist5:83059'],['F5']
chr1,"(6346429, 6346440)",1,11,['MinDist5:83001'],['F5']
chr1,"(6347100, 6347111)",2,11,['MinDist3:228'],['3T']
chr1,"(6350036, 6350049)",1,13,['MinDist3:3164'],['F3']
chr1,"(6351144, 6351172)",1,28,['MinDist3:4272'],['F3']
chr1,"(6352574, 6352602)",1,28,['MinDist3:5702'],['F3']
chr1,"(6354370, 6354385)",1,15,['MinDist3:7498'],['F3']
chr1,"(6354956, 6354967)",1,11,['MinDist3:8084'],['F3']
chr1,"(6355152, 6355164)",1,12,['MinDist3:8280'],['F3']
chr1,"(6355408, 6355419)",1,11,['MinDist3:8536'],['F3']
chr1,"(6357899, 6357912)",1,13,['MinDist3:11027'],['F3']
chr1,"(6358808, 6358818)",1,10,['MinDist3:11936'],['F3']
chr1,"(6363525, 6363537)",2,12,['MinDist3:16653'],['F3']
chr1,"(6366253, 6366263)",1,10,['MinDist3:19381'],['F3']
