chromosome,read interval,reads,length of read,result,status
chr1,"(3050011, 3050022)",1,11,['MinDist5:93453'],['F5']
chr1,"(3050920, 3050932)",1,12,['MinDist5:92543'],['F5']
chr1,"(3052677, 3052690)",1,13,['MinDist5:90785'],['F5']
chr1,"(3053444, 3053456)",1,12,['MinDist5:90019'],['F5']
chr1,"(3058388, 3058400)",1,12,['MinDist5:85075'],['F5']
chr1,"(3066599, 3066613)",3,14,['MinDist5:76862'],['F5']
chr1,"(3067253, 3067264)",1,11,['MinDist5:76211'],['F5']
chr1,"(3072485, 3072497)",1,12,['MinDist5:70978'],['F5']
chr1,"(3077828, 3077851)",3,23,['MinDist5:65624'],['F5']
chr1,"(3078097, 3078108)",1,11,['MinDist5:65367'],['F5']
chr1,"(3080677, 3080690)",1,13,['MinDist5:62785'],['F5']
chr1,"(3081334, 3081345)",1,11,['MinDist5:62130'],['F5']
chr1,"(3081883, 3081895)",2,12,['MinDist5:61580'],['F5']
chr1,"(3082863, 3082873)",1,10,['MinDist5:60602'],['F5']
chr1,"(3087147, 3087159)",1,12,['MinDist5:56316'],['F5']
chr1,"(3087409, 3087421)",1,12,['MinDist5:56054'],['F5']
chr1,"(3088419, 3088432)",1,13,['MinDist5:55043'],['F5']
chr1,"(3090047, 3090059)",2,12,['MinDist5:53416'],['F5']
chr1,"(3090757, 3090768)",1,11,['MinDist5:52707'],['F5']
chr1,"(3091741, 3091751)",6,10,['MinDist5:51724'],['F5']
chr1,"(3092791, 3092804)",1,13,['MinDist5:50671'],['F5']
chr1,"(3099838, 3099849)",1,11,['MinDist5:43626'],['F5']
chr1,"(3102557, 3102571)",1,14,['MinDist5:40904'],['F5']
chr1,"(3103309, 3103322)",1,13,['MinDist5:40153'],['F5']
chr1,"(3104621, 3104636)",1,15,['MinDist5:38839'],['F5']
chr1,"(3104715, 3104727)",1,12,['MinDist5:38748'],['F5']
chr1,"(3105385, 3105396)",1,11,['MinDist5:38079'],['F5']
chr1,"(3108242, 3108252)",1,10,['MinDist5:35223'],['F5']
chr1,"(3109636, 3109647)",1,11,['MinDist5:33828'],['F5']
chr1,"(3115926, 3115936)",1,10,['MinDist5:27539'],['F5']
chr1,"(3117656, 3117669)",1,13,['MinDist5:25806'],['F5']
chr1,"(3119382, 3119399)",2,17,['MinDist5:24076'],['F5']
chr1,"(3123301, 3123316)",1,15,['MinDist5:20159'],['F5']
chr1,"(3123982, 3123993)",1,11,['MinDist5:19482'],['F5']
chr1,"(3124606, 3124616)",1,10,['MinDist5:18859'],['F5']
chr1,"(3126990, 3127000)",1,10,['MinDist5:16475'],['F5']
chr1,"(3127135, 3127146)",1,11,['MinDist5:16329'],['F5']
chr1,"(3127295, 3127310)",3,15,['MinDist5:16165'],['F5']
chr1,"(3127470, 3127481)",2,11,['MinDist5:15994'],['F5']
chr1,"(3127938, 3127949)",1,11,['MinDist5:15526'],['F5']
chr1,"(3128423, 3128435)",1,12,['MinDist5:15040'],['F5']
chr1,"(3128946, 3128973)",1,27,['MinDist5:14502'],['F5']
chr1,"(3129458, 3129469)",1,11,['MinDist5:14006'],['F5']
chr1,"(3130660, 3130671)",1,11,['MinDist5:12804'],['F5']
chr1,"(3131002, 3131013)",2,11,['MinDist5:12462'],['F5']
chr1,"(3132515, 3132527)",1,12,['MinDist5:10948'],['F5']
chr1,"(3133139, 3133151)",1,12,['MinDist5:10324'],['F5']
chr1,"(3134166, 3134176)",1,10,['MinDist5:9299'],['F5']
chr1,"(3140345, 3140357)",2,12,['MinDist5:3118'],['F5']
chr1,"(3140384, 3140397)",1,13,['MinDist5:3078'],['F5']
chr1,"(3140718, 3140728)",1,10,['MinDist5:2747'],['F5']
chr1,"(3140918, 3140929)",1,11,['MinDist5:2546'],['F5']
chr1,"(3141003, 3141014)",1,11,['MinDist5:2461'],['F5']
chr1,"(3143815, 3143826)",2,11,['4933401J01Rik-201'],['A']
chr1,"(3146193, 3146207)",1,14,['MinDist3:1648'],['F3']
chr1,"(3146423, 3146436)",1,13,['MinDist3:1878'],['F3']
chr1,"(3146853, 3146865)",2,12,['MinDist3:2308'],['F3']
chr1,"(3150256, 3150267)",1,11,['MinDist3:5711'],['F3']
chr1,"(3151465, 3151478)",1,13,['MinDist3:6920'],['F3']
chr1,"(3152498, 3152514)",1,16,['MinDist3:7953'],['F3']
chr1,"(3153980, 3153991)",1,11,['MinDist3:9435'],['F3']
chr1,"(3156700, 3156710)",1,10,['MinDist3:12155'],['F3']
chr1,"(3158300, 3158310)",1,10,['MinDist3:13755'],['F3']
chr1,"(3169154, 3169167)",1,13,['MinDist5:3071'],['F5']
chr1,"(3170530, 3170545)",1,15,['MinDist5:1693'],['F5']
chr1,"(3173190, 3173201)",1,11,['MinDist3:842'],['F3']
chr1,"(3176192, 3176203)",2,11,['MinDist3:3844'],['F3']
chr1,"(3179870, 3179881)",1,11,['MinDist3:7522'],['F3']
chr1,"(3180194, 3180205)",1,11,['MinDist3:7846'],['F3']
chr1,"(3181823, 3181835)",1,12,['MinDist3:9475'],['F3']
chr1,"(3183164, 3183175)",1,11,['MinDist3:10816'],['F3']
chr1,"(3186832, 3186846)",1,14,['MinDist3:14484'],['F3']
chr1,"(3187599, 3187612)",1,13,['MinDist3:15251'],['F3']
chr1,"(3188486, 3188498)",1,12,['MinDist3:16138'],['F3']
chr1,"(3188707, 3188719)",1,12,['MinDist3:16359'],['F3']
chr1,"(3190213, 3190223)",1,10,['MinDist3:17865'],['F3']
chr1,"(3190538, 3190548)",1,10,['MinDist3:18190'],['F3']
chr1,"(3194746, 3194757)",1,11,['MinDist3:22398'],['F3']
chr1,"(3194785, 3194799)",5,14,['MinDist3:22437'],['F3']
chr1,"(3197442, 3197452)",2,10,['MinDist3:25094'],['F3']
chr1,"(3197820, 3197831)",2,11,['MinDist3:25472'],['F3']
chr1,"(3198657, 3198671)",1,14,['MinDist3:26309'],['F3']
chr1,"(3203470, 3203486)",1,16,['MinDist3:31122'],['F3']
chr1,"(3203770, 3203783)",2,13,['MinDist3:31422'],['F3']
chr1,"(3204236, 3204249)",1,13,['MinDist3:31888'],['F3']
chr1,"(3205074, 3205086)",1,12,['MinDist3:32726'],['F3']
chr1,"(3206403, 3206414)",1,11,['MinDist3:34055'],['F3']
chr1,"(3209903, 3209918)",1,15,['MinDist3:37555'],['F3']
chr1,"(3213341, 3213352)",1,11,['MinDist3:40993'],['F3']
chr1,"(3214519, 3214529)",1,10,['MinDist3:42171'],['F3']
chr1,"(3215734, 3215744)",1,10,['MinDist3:43386'],['F3']
chr1,"(3216469, 3216478)",1,9,['MinDist3:44121'],['F3']
chr1,"(3217061, 3217072)",1,11,['MinDist3:44713'],['F3']
chr1,"(3217477, 3217488)",1,11,['MinDist3:45129'],['F3']
chr1,"(3217552, 3217576)",1,24,['MinDist3:45204'],['F3']
chr1,"(3218047, 3218058)",1,11,['MinDist3:45699'],['F3']
chr1,"(3218067, 3218078)",1,11,['MinDist3:45719'],['F3']
chr1,"(3219785, 3219795)",1,10,['MinDist3:47437'],['F3']
chr1,"(3220243, 3220254)",1,11,['MinDist3:47895'],['F3']
chr1,"(3224690, 3224700)",2,10,['MinDist3:52342'],['F3']
chr1,"(3231941, 3231953)",2,12,['MinDist3:59593'],['F3']
